open_time,open,high,low,close,volume,close_time
1644940800000,3122.61000000,3141.37000000,3085.57000000,3109.34000000,60411.10300000,1644955199999
1644955200000,3109.33000000,3196.19000000,3092.05000000,3183.52000000,58336.94550000,1644969599999
1644969600000,3183.53000000,3184.55000000,3132.95000000,3141.00000000,43926.83260000,1644983999999
1644984000000,3141.00000000,3152.82000000,3105.00000000,3149.50000000,37041.27710000,1644998399999
1644998400000,3149.49000000,3162.86000000,3112.77000000,3135.64000000,36436.99010000,1645012799999
1645012800000,3135.64000000,3144.38000000,3051.28000000,3066.27000000,78718.05530000,1645027199999
1645027200000,3066.28000000,3186.77000000,3044.03000000,3169.28000000,85026.80210000,1645041599999
1645041600000,3169.28000000,3179.10000000,3116.96000000,3122.30000000,38847.66720000,1645055999999
1645056000000,3122.31000000,3160.00000000,3083.23000000,3083.85000000,42797.65790000,1645070399999
1645070400000,3083.85000000,3112.00000000,3050.00000000,3109.28000000,58975.86860000,1645084799999
1645084800000,3109.27000000,3137.32000000,3029.44000000,3065.52000000,78237.86120000,1645099199999
1645099200000,3065.53000000,3086.76000000,2961.31000000,2989.26000000,111588.69070000,1645113599999
1645113600000,2989.26000000,3005.75000000,2882.43000000,2910.36000000,120566.51940000,1645127999999
1645128000000,2910.37000000,2914.80000000,2851.55000000,2891.87000000,76526.66460000,1645142399999
1645142400000,2891.88000000,2920.20000000,2861.00000000,2907.36000000,61134.10090000,1645156799999
1645156800000,2907.31000000,2916.99000000,2876.89000000,2905.25000000,41193.57370000,1645171199999
1645171200000,2905.25000000,2943.97000000,2872.01000000,2878.66000000,54175.03020000,1645185599999
1645185600000,2878.66000000,2907.36000000,2789.00000000,2800.47000000,140043.29020000,1645199999999
1645200000000,2800.46000000,2825.72000000,2750.00000000,2797.87000000,153999.86590000,1645214399999
1645214400000,2797.87000000,2807.32000000,2753.72000000,2779.48000000,52431.54600000,1645228799999
